CompanyName,CompanyType,Programme,RefDate,Sector
AGENSI PEKERJAAN CAREERXCELL SDN BHD,MNC,STAR,15/11/2013,
AGENSI PEKERJAAN HAYS (MALAYSIA) SDN BHD,MNC,STAR,15/1/2020,
AGENSI PEKERJAAN MILLENNIUM CONSULTANTS (M) SDN BHD,Others,STAR,11/1/2012,
AGENSI PEKERJAAN SPRING PROFESSIONAL (M) SDN BHD,MNC,STAR,17/1/2020,
AGILE MATRIX SOLUTIONS SDN BHD,Others,STAR,15/7/2014,
AGILENT TECHNOLOGIES LDA MALAYSIA SDN BHD,MNC,STAR,5/10/2014,Healthcare
AGLOW MEDICAL GROUP SDN BHD,SME,STAR,28/9/2020,Healthcare
AGROBRIDGE (MALAYSIA) SDN BHD,SME,STAR,3/7/2018,Agriculture
AI ARCHITECTURAL INTERIOR ASSOCIATES SDN BHD,MNC,STAR,4/10/2019,
AIDAN TECHNOLOGIES SDN BHD,Others,STAR,13/4/2016,
AINOFURNISHING SDN BHD,Others,STAR,10/6/2016,
AIR ASIA BHD,,STAR,11/6/2014,
AIR LIQUIDE (M) SDN BHD,MNC,STAR,21/9/2011,
AIR LIQUIDE BUSINESS SERVICES SDN BHD,MNC,STAR,20/3/2019,"Oil, Gas & Energy (OGE)"
AIR LIQUIDE MALAYSIA SDN BHD,MNC,STAR,2/2/2017,"Oil, Gas & Energy (OGE)"
AIRASIA X BHD,Others,STAR,7/8/2012,Tourism
AIRE-PLUS TECHNOLOGY (M) SDN BHD,MNC,STAR,9/12/2016,E&E
AIRE-PLUS TECHNOLOGY (MALAYSIA) SDN BHD,MNC,STAR,9/12/2016,E&E
AIRFOIL SERVICES SDN BHD,MNC,STAR,14/11/2011,
AJINOMOTO (MALAYSIA) BHD,,STAR,7/4/2014,
AKADEMI PENDIDIKAN JATI SDN BHD,MNC,STAR,10/1/2015,
AKEM LINKS SDN BHD,Others,STAR,28/9/2015,
AKER SOLUTIONS MALAYSIA SDN BHD,MNC,STAR,19/3/2015,"Oil, Gas & Energy (OGE)"
AKZO NOBEL INDUSTRIAL COATINGS SDN BHD,MNC,STAR,8/9/2017,"Oil, Gas & Energy (OGE)"
AL MANAR INTELEK GROUP SDN BHD,,STAR,8/5/2014,
AL-MADINAH INTERNATIONAL UNIVERSITY (MALAYSIA) SDN BHD,,STAR,22/6/2016,
ALAM DINGIN AIR CONDITIONING ENGINEERING SDN BHD,Others,STAR,4/12/2017,
ALAM MURNI SDN BHD,MNC,STAR,22/2/2017,
ALAM SEKITAR MALAYSIA SDN BHD,,STAR,7/4/2014,
ALCON FR&A SHARED SERVICES & ALCON LABORATORIES MALAYSIA SDN BHD,MNC,STAR,19/1/2021,Healthcare
ALISTHER INTERVENTION CENTRE,SME,STAR,8/9/2020,
ALIYA DENTAL SDN BHD,SME,STAR,27/10/2021,Healthcare
ALLIANCE BANK MALAYSIA BHD,MNC,STAR,25/3/2014,Financial Services
ALLIANZ MALAYSIA BHD,MNC,STAR,9/10/2012,Financial Services
ALLIED CHEMISTS LABORATORY SDN BHD,Others,STAR,11/6/2018,
ALLIED TRADELINK SDN BHD,Others,STAR,23/10/2013,
ALPHAMY BHD,,STAR,26/11/2013,
ALPHAZEN CONTRACT SDN BHD,Others,STAR,6/10/2017,
ALPRO ALLIANCE (PAHANG) S/B,,STAR,29/7/2016,
ALPRO PHARMACY (TELUK KEMANG) SDN BHD,Others,STAR,8/6/2016,Healthcare
ALPRO PHARMACY HOLDINGS SDN BHD,,STAR,23/2/2017,
ALTERA CORPORATION,MNC,STAR,14/9/2011,E&E
ALTHEA BEAUTY SDN BHD,MNC,STAR,2/2/2018,
ALTRAN MALAYSIA SDN BHD,MNC,STAR,24/9/2013,
ALTUM PRECISION SDN BHD,Others,STAR,10/11/2017,
AMBANK GROUP,Others,STAR,15/9/2011,Financial Services
AMAN SETIA RESOURCES SDN BHD,Others,STAR,30/7/2013,
AMANTRONIC SDN BHD,Others,STAR,13/11/2017,
AMCEN LAB SDN BHD,SME,STAR,10/6/2019,
AMCORP GROUP BHD,Others,STAR,2/7/2012,E&E
AMERICAN EXPRESS (MALAYSIA) SDN BHD,Others,STAR,28/11/2017,
AMSTEEL MILLS SDN BHD,Others,STAR,6/3/2017,
ANALOG DEVICES SDN BHD,MNC,STAR,20/12/2018,E&E
ANALYTICAL SCIENTIFIC SDN BHD,,STAR,7/4/2014,
ANAS CONSTRUCTION SDN BHD,Others,STAR,16/11/2017,
ANGSANA TUNAS SDN BHD,Others,STAR,13/6/2016,
ANIMED VETERINARY CENTER SDN BHD,Others,STAR,1/4/2016,Healthcare
ANNATA DYNAMICS SDN BHD,MNC,STAR,5/10/2015,
ANT FUTURES SDN BHD,SME,STAR,12/9/2018,Agriculture
ANT INTERNET SDN BHD,SME,STAR,16/1/2020,
ANTAMAHIR SDN BHD,,STAR,13/6/2014,
AON BENFIELD MALAYSIA LTD,MNC,STAR,20/11/2012,
AON HEWITT,MNC,STAR,18/7/2012,
APAR TECHNOLOGIES SDN BHD,MNC,STAR,15/12/2017,
APAX BRAND EXPERIENTIAL GROUP PLT,SME,STAR,16/11/2021,
APICAL SCIENTIFIC SDN BHD,SME,STAR,4/10/2018,
APPLIED AGRICULTURAL RESOURCES SDN BHD,MNC,STAR,28/6/2012,
APPROVED GROUP INTERNATIONAL,MNC,STAR,14/9/2012,
APPVALLEY TECHNOLOGY SDN BHD,SME,STAR,3/5/2018,
AQUILAS ADVISORY (MALAYSIA) SDN BHD,Others,STAR,28/11/2014,Financial Services
ARACHEM (M) SDN BHD,Others,STAR,2/11/2017,
ARAHE SOLUTIONS SDN BHD,Others,STAR,16/5/2016,
ARCA IMEJ OPTOMETRIST SDN BHD,SME,STAR,24/2/2020,Healthcare
ARCA TRADING SDN BHD,Others,STAR,4/10/2017,
ARCHITECTS 61 SDN BHD,Others,STAR,20/10/2016,
ARKILAB,Others,STAR,17/11/2014,
ARKITEK IBNU ADAM,Others,STAR,17/11/2016,
ARMSTRONG AUTO PARTS SDN BHD,Others,STAR,18/11/2019,
ART IN SOFTWARE SDN BHD,SME,STAR,14/4/2021,
ART OF TREE SDN BHD,SME,STAR,8/2/2022,
ARUP JURURUNDING SDN BHD,Others,STAR,19/10/2015,
ARUS SAWIT SDN BHD,SME,STAR,5/11/2018,
ASSAFFA DESIGN PRACTICE,,STAR,29/9/2014,
ASCENDER HCM SDN BHD,MNC,STAR,1/4/2019,
ASIA ASSISTANCE NETWORK (M) SDN BHD,,STAR,21/10/2014,
ASIA MOBILITY TECHNOLOGIES SDN BHD,SME,STAR,29/9/2020,
ASIA OIL PALM DIV.1,Others,STAR,5/11/2017,
ASIA PACIFIC ENGINEERING SDN BHD,Others,STAR,27/11/2017,
ASIA-PACIFIC SPECIAL NUTRIENTS SDN BHD,Others,STAR,14/11/2014,
